track,member_index,draw_index,role,posterior_sample_seed
8d,1,94,primary,9440004
8d,1,95,primary,9440004
8d,1,96,primary,9440004
8d,1,97,primary,9440004
8d,1,98,primary,9440004
8d,1,99,primary,9440004
8d,1,100,primary,9440004
8d,1,101,primary,9440004
8d,1,102,primary,9440004
8d,1,103,primary,9440004
8d,1,104,primary,9440004
8d,1,105,primary,9440004
8d,1,106,primary,9440004
8d,1,107,primary,9440004
8d,1,108,primary,9440004
8d,1,109,primary,9440004
8d,1,110,primary,9440004
8d,1,111,primary,9440004
8d,1,112,primary,9440004
8d,1,113,primary,9440004
8d,1,114,primary,9440004
8d,1,115,primary,9440004
8d,1,116,primary,9440004
8d,1,117,primary,9440004
8d,1,118,primary,9440004
8d,1,119,primary,9440004
8d,1,120,primary,9440004
8d,1,121,primary,9440004
8d,1,122,primary,9440004
8d,1,123,primary,9440004
8d,1,124,primary,9440004
8d,1,125,primary,9440004
8d,1,126,primary,9440004
8d,1,127,primary,9440004
8d,1,128,primary,9440004
8d,1,129,primary,9440004
8d,1,130,primary,9440004
8d,1,131,primary,9440004
8d,1,132,primary,9440004
8d,1,133,primary,9440004
8d,1,134,primary,9440004
8d,1,135,primary,9440004
8d,1,136,primary,9440004
8d,1,137,primary,9440004
8d,1,138,primary,9440004
8d,1,139,primary,9440004
8d,1,140,primary,9440004
8d,1,141,primary,9440004
8d,1,142,primary,9440004
8d,1,143,primary,9440004
8d,1,144,primary,9440004
8d,1,145,primary,9440004
8d,1,146,primary,9440004
8d,1,147,primary,9440004
8d,1,148,primary,9440004
8d,1,149,primary,9440004
8d,1,150,primary,9440004
8d,1,151,primary,9440004
8d,1,152,primary,9440004
8d,1,153,primary,9440004
8d,1,154,primary,9440004
8d,1,155,primary,9440004
8d,1,156,primary,9440004
8d,1,157,primary,9440004
8d,1,158,primary,9440004
8d,1,159,primary,9440004
8d,1,160,primary,9440004
8d,1,161,primary,9440004
8d,1,162,primary,9440004
8d,1,163,primary,9440004
8d,1,164,primary,9440004
8d,1,165,primary,9440004
8d,1,166,primary,9440004
8d,1,167,primary,9440004
8d,1,168,primary,9440004
8d,1,169,primary,9440004
8d,1,170,primary,9440004
8d,1,171,primary,9440004
8d,1,172,primary,9440004
8d,1,173,primary,9440004
8d,1,174,primary,9440004
8d,1,175,primary,9440004
8d,1,176,primary,9440004
8d,1,177,primary,9440004
8d,1,178,primary,9440004
8d,1,179,primary,9440004
8d,1,180,primary,9440004
8d,1,181,primary,9440004
8d,1,182,primary,9440004
8d,1,183,primary,9440004
8d,1,184,primary,9440004
8d,1,185,primary,9440004
8d,1,186,primary,9440004
8d,1,187,primary,9440004
8d,1,188,primary,9440004
8d,1,189,primary,9440004
8d,1,190,primary,9440004
8d,1,191,primary,9440004
8d,1,192,primary,9440004
8d,1,193,primary,9440004
8d,1,194,primary,9440004
8d,1,195,primary,9440004
8d,1,196,primary,9440004
8d,1,197,primary,9440004
8d,1,198,primary,9440004
8d,1,199,primary,9440004
8d,1,200,primary,9440004
8d,1,201,primary,9440004
8d,1,202,primary,9440004
8d,1,203,primary,9440004
8d,1,204,primary,9440004
8d,1,205,primary,9440004
8d,1,206,primary,9440004
8d,1,207,primary,9440004
8d,1,208,primary,9440004
8d,1,209,primary,9440004
8d,1,210,primary,9440004
8d,1,211,primary,9440004
8d,1,212,primary,9440004
8d,1,213,primary,9440004
8d,1,214,primary,9440004
8d,1,215,primary,9440004
8d,1,216,primary,9440004
8d,1,217,primary,9440004
8d,1,218,primary,9440004
8d,1,219,primary,9440004
8d,1,220,primary,9440004
8d,1,221,primary,9440004
8d,1,222,primary,9440004
8d,1,223,primary,9440004
8d,1,224,primary,9440004
8d,1,225,primary,9440004
8d,1,226,primary,9440004
8d,1,227,primary,9440004
8d,1,228,primary,9440004
8d,1,229,primary,9440004
8d,1,230,primary,9440004
8d,1,231,primary,9440004
8d,1,232,primary,9440004
8d,1,233,primary,9440004
8d,1,234,primary,9440004
8d,1,235,primary,9440004
8d,1,236,primary,9440004
8d,1,237,primary,9440004
8d,1,238,primary,9440004
8d,1,239,primary,9440004
8d,1,240,primary,9440004
8d,1,241,primary,9440004
8d,1,242,primary,9440004
8d,1,243,primary,9440004
8d,1,244,primary,9440004
8d,1,245,primary,9440004
8d,1,246,primary,9440004
8d,1,247,primary,9440004
8d,1,248,primary,9440004
8d,1,249,primary,9440004
8d,1,250,primary,9440004
8d,1,251,primary,9440004
8d,1,252,primary,9440004
8d,1,253,primary,9440004
8d,1,254,primary,9440004
8d,1,255,primary,9440004
8d,1,256,reserve,9440004
8d,1,257,reserve,9440004
8d,1,258,reserve,9440004
8d,1,259,reserve,9440004
8d,1,260,reserve,9440004
8d,1,261,reserve,9440004
8d,1,262,reserve,9440004
8d,1,263,reserve,9440004
8d,1,264,reserve,9440004
8d,1,265,reserve,9440004
8d,1,266,reserve,9440004
8d,1,267,reserve,9440004
8d,1,268,reserve,9440004
8d,1,269,reserve,9440004
8d,1,270,reserve,9440004
8d,1,271,reserve,9440004
8d,1,272,reserve,9440004
8d,1,273,reserve,9440004
8d,1,274,reserve,9440004
8d,1,275,reserve,9440004
8d,1,276,reserve,9440004
8d,1,277,reserve,9440004
8d,1,278,reserve,9440004
8d,1,279,reserve,9440004
8d,1,280,reserve,9440004
8d,1,281,reserve,9440004
8d,1,282,reserve,9440004
8d,1,283,reserve,9440004
8d,1,284,reserve,9440004
8d,1,285,reserve,9440004
8d,1,286,reserve,9440004
8d,1,287,reserve,9440004
8d,1,288,reserve,9440004
8d,1,289,reserve,9440004
8d,1,290,reserve,9440004
8d,1,291,reserve,9440004
8d,1,292,reserve,9440004
8d,1,293,reserve,9440004
8d,1,294,reserve,9440004
8d,1,295,reserve,9440004
8d,1,296,reserve,9440004
8d,1,297,reserve,9440004
8d,1,298,reserve,9440004
8d,1,299,reserve,9440004
8d,1,300,reserve,9440004
8d,1,301,reserve,9440004
8d,1,302,reserve,9440004
8d,1,303,reserve,9440004
8d,1,304,reserve,9440004
8d,1,305,reserve,9440004
8d,1,306,reserve,9440004
8d,1,307,reserve,9440004
8d,1,308,reserve,9440004
8d,1,309,reserve,9440004
8d,1,310,reserve,9440004
8d,1,311,reserve,9440004
8d,1,312,reserve,9440004
8d,1,313,reserve,9440004
8d,1,314,reserve,9440004
8d,1,315,reserve,9440004
8d,1,316,reserve,9440004
8d,1,317,reserve,9440004
8d,1,318,reserve,9440004
8d,1,319,reserve,9440004
8d,2,0,primary,9540007
8d,2,1,primary,9540007
8d,2,2,primary,9540007
8d,2,3,primary,9540007
8d,2,4,primary,9540007
8d,2,5,primary,9540007
8d,2,6,primary,9540007
8d,2,7,primary,9540007
8d,2,8,primary,9540007
8d,2,9,primary,9540007
8d,2,10,primary,9540007
8d,2,11,primary,9540007
8d,2,12,primary,9540007
8d,2,13,primary,9540007
8d,2,14,primary,9540007
8d,2,15,primary,9540007
8d,2,16,primary,9540007
8d,2,17,primary,9540007
8d,2,18,primary,9540007
8d,2,19,primary,9540007
8d,2,20,primary,9540007
8d,2,21,primary,9540007
8d,2,22,primary,9540007
8d,2,23,primary,9540007
8d,2,24,primary,9540007
8d,2,25,primary,9540007
8d,2,26,primary,9540007
8d,2,27,primary,9540007
8d,2,28,primary,9540007
8d,2,29,primary,9540007
8d,2,30,primary,9540007
8d,2,31,primary,9540007
8d,2,32,primary,9540007
8d,2,33,primary,9540007
8d,2,34,primary,9540007
8d,2,35,primary,9540007
8d,2,36,primary,9540007
8d,2,37,primary,9540007
8d,2,38,primary,9540007
8d,2,39,primary,9540007
8d,2,40,primary,9540007
8d,2,41,primary,9540007
8d,2,42,primary,9540007
8d,2,43,primary,9540007
8d,2,44,primary,9540007
8d,2,45,primary,9540007
8d,2,46,primary,9540007
8d,2,47,primary,9540007
8d,2,48,primary,9540007
8d,2,49,primary,9540007
8d,2,50,primary,9540007
8d,2,51,primary,9540007
8d,2,52,primary,9540007
8d,2,53,primary,9540007
8d,2,54,primary,9540007
8d,2,55,primary,9540007
8d,2,56,primary,9540007
8d,2,57,primary,9540007
8d,2,58,primary,9540007
8d,2,59,primary,9540007
8d,2,60,primary,9540007
8d,2,61,primary,9540007
8d,2,62,primary,9540007
8d,2,63,primary,9540007
8d,2,64,primary,9540007
8d,2,65,primary,9540007
8d,2,66,primary,9540007
8d,2,67,primary,9540007
8d,2,68,primary,9540007
8d,2,69,primary,9540007
8d,2,70,primary,9540007
8d,2,71,primary,9540007
8d,2,72,primary,9540007
8d,2,73,primary,9540007
8d,2,74,primary,9540007
8d,2,75,primary,9540007
8d,2,76,primary,9540007
8d,2,77,primary,9540007
8d,2,78,primary,9540007
8d,2,79,primary,9540007
8d,2,80,primary,9540007
8d,2,81,primary,9540007
8d,2,82,primary,9540007
8d,2,83,primary,9540007
8d,2,84,primary,9540007
8d,2,85,primary,9540007
8d,2,86,primary,9540007
8d,2,87,primary,9540007
8d,2,88,primary,9540007
8d,2,89,primary,9540007
8d,2,90,primary,9540007
8d,2,91,primary,9540007
8d,2,92,primary,9540007
8d,2,93,primary,9540007
8d,2,94,primary,9540007
8d,2,95,primary,9540007
8d,2,96,primary,9540007
8d,2,97,primary,9540007
8d,2,98,primary,9540007
8d,2,99,primary,9540007
8d,2,100,primary,9540007
8d,2,101,primary,9540007
8d,2,102,primary,9540007
8d,2,103,primary,9540007
8d,2,104,primary,9540007
8d,2,105,primary,9540007
8d,2,106,primary,9540007
8d,2,107,primary,9540007
8d,2,108,primary,9540007
8d,2,109,primary,9540007
8d,2,110,primary,9540007
8d,2,111,primary,9540007
8d,2,112,primary,9540007
8d,2,113,primary,9540007
8d,2,114,primary,9540007
8d,2,115,primary,9540007
8d,2,116,primary,9540007
8d,2,117,primary,9540007
8d,2,118,primary,9540007
8d,2,119,primary,9540007
8d,2,120,primary,9540007
8d,2,121,primary,9540007
8d,2,122,primary,9540007
8d,2,123,primary,9540007
8d,2,124,primary,9540007
8d,2,125,primary,9540007
8d,2,126,primary,9540007
8d,2,127,primary,9540007
8d,2,128,primary,9540007
8d,2,129,primary,9540007
8d,2,130,primary,9540007
8d,2,131,primary,9540007
8d,2,132,primary,9540007
8d,2,133,primary,9540007
8d,2,134,primary,9540007
8d,2,135,primary,9540007
8d,2,136,primary,9540007
8d,2,137,primary,9540007
8d,2,138,primary,9540007
8d,2,139,primary,9540007
8d,2,140,primary,9540007
8d,2,141,primary,9540007
8d,2,142,primary,9540007
8d,2,143,primary,9540007
8d,2,144,primary,9540007
8d,2,145,primary,9540007
8d,2,146,primary,9540007
8d,2,147,primary,9540007
8d,2,148,primary,9540007
8d,2,149,primary,9540007
8d,2,150,primary,9540007
8d,2,151,primary,9540007
8d,2,152,primary,9540007
8d,2,153,primary,9540007
8d,2,154,primary,9540007
8d,2,155,primary,9540007
8d,2,156,primary,9540007
8d,2,157,primary,9540007
8d,2,158,primary,9540007
8d,2,159,primary,9540007
8d,2,160,primary,9540007
8d,2,161,primary,9540007
8d,2,162,primary,9540007
8d,2,163,primary,9540007
8d,2,164,primary,9540007
8d,2,165,primary,9540007
8d,2,166,primary,9540007
8d,2,167,primary,9540007
8d,2,168,primary,9540007
8d,2,169,primary,9540007
8d,2,170,primary,9540007
8d,2,171,primary,9540007
8d,2,172,primary,9540007
8d,2,173,primary,9540007
8d,2,174,primary,9540007
8d,2,175,primary,9540007
8d,2,176,primary,9540007
8d,2,177,primary,9540007
8d,2,178,primary,9540007
8d,2,179,primary,9540007
8d,2,180,primary,9540007
8d,2,181,primary,9540007
8d,2,182,primary,9540007
8d,2,183,primary,9540007
8d,2,184,primary,9540007
8d,2,185,primary,9540007
8d,2,186,primary,9540007
8d,2,187,primary,9540007
8d,2,188,primary,9540007
8d,2,189,primary,9540007
8d,2,190,primary,9540007
8d,2,191,primary,9540007
8d,2,192,primary,9540007
8d,2,193,primary,9540007
8d,2,194,primary,9540007
8d,2,195,primary,9540007
8d,2,196,primary,9540007
8d,2,197,primary,9540007
8d,2,198,primary,9540007
8d,2,199,primary,9540007
8d,2,200,primary,9540007
8d,2,201,primary,9540007
8d,2,202,primary,9540007
8d,2,203,primary,9540007
8d,2,204,primary,9540007
8d,2,205,primary,9540007
8d,2,206,primary,9540007
8d,2,207,primary,9540007
8d,2,208,primary,9540007
8d,2,209,primary,9540007
8d,2,210,primary,9540007
8d,2,211,primary,9540007
8d,2,212,primary,9540007
8d,2,213,primary,9540007
8d,2,214,primary,9540007
8d,2,215,primary,9540007
8d,2,216,primary,9540007
8d,2,217,primary,9540007
8d,2,218,primary,9540007
8d,2,219,primary,9540007
8d,2,220,primary,9540007
8d,2,221,primary,9540007
8d,2,222,primary,9540007
8d,2,223,primary,9540007
8d,2,224,primary,9540007
8d,2,225,primary,9540007
8d,2,226,primary,9540007
8d,2,227,primary,9540007
8d,2,228,primary,9540007
8d,2,229,primary,9540007
8d,2,230,primary,9540007
8d,2,231,primary,9540007
8d,2,232,primary,9540007
8d,2,233,primary,9540007
8d,2,234,primary,9540007
8d,2,235,primary,9540007
8d,2,236,primary,9540007
8d,2,237,primary,9540007
8d,2,238,primary,9540007
8d,2,239,primary,9540007
8d,2,240,primary,9540007
8d,2,241,primary,9540007
8d,2,242,primary,9540007
8d,2,243,primary,9540007
8d,2,244,primary,9540007
8d,2,245,primary,9540007
8d,2,246,primary,9540007
8d,2,247,primary,9540007
8d,2,248,primary,9540007
8d,2,249,primary,9540007
8d,2,250,primary,9540007
8d,2,251,primary,9540007
8d,2,252,primary,9540007
8d,2,253,primary,9540007
8d,2,254,primary,9540007
8d,2,255,primary,9540007
8d,2,256,reserve,9540007
8d,2,257,reserve,9540007
8d,2,258,reserve,9540007
8d,2,259,reserve,9540007
8d,2,260,reserve,9540007
8d,2,261,reserve,9540007
8d,2,262,reserve,9540007
8d,2,263,reserve,9540007
8d,2,264,reserve,9540007
8d,2,265,reserve,9540007
8d,2,266,reserve,9540007
8d,2,267,reserve,9540007
8d,2,268,reserve,9540007
8d,2,269,reserve,9540007
8d,2,270,reserve,9540007
8d,2,271,reserve,9540007
8d,2,272,reserve,9540007
8d,2,273,reserve,9540007
8d,2,274,reserve,9540007
8d,2,275,reserve,9540007
8d,2,276,reserve,9540007
8d,2,277,reserve,9540007
8d,2,278,reserve,9540007
8d,2,279,reserve,9540007
8d,2,280,reserve,9540007
8d,2,281,reserve,9540007
8d,2,282,reserve,9540007
8d,2,283,reserve,9540007
8d,2,284,reserve,9540007
8d,2,285,reserve,9540007
8d,2,286,reserve,9540007
8d,2,287,reserve,9540007
8d,2,288,reserve,9540007
8d,2,289,reserve,9540007
8d,2,290,reserve,9540007
8d,2,291,reserve,9540007
8d,2,292,reserve,9540007
8d,2,293,reserve,9540007
8d,2,294,reserve,9540007
8d,2,295,reserve,9540007
8d,2,296,reserve,9540007
8d,2,297,reserve,9540007
8d,2,298,reserve,9540007
8d,2,299,reserve,9540007
8d,2,300,reserve,9540007
8d,2,301,reserve,9540007
8d,2,302,reserve,9540007
8d,2,303,reserve,9540007
8d,2,304,reserve,9540007
8d,2,305,reserve,9540007
8d,2,306,reserve,9540007
8d,2,307,reserve,9540007
8d,2,308,reserve,9540007
8d,2,309,reserve,9540007
8d,2,310,reserve,9540007
8d,2,311,reserve,9540007
8d,2,312,reserve,9540007
8d,2,313,reserve,9540007
8d,2,314,reserve,9540007
8d,2,315,reserve,9540007
8d,2,316,reserve,9540007
8d,2,317,reserve,9540007
8d,2,318,reserve,9540007
8d,2,319,reserve,9540007
8d,3,0,primary,9640010
8d,3,1,primary,9640010
8d,3,2,primary,9640010
8d,3,3,primary,9640010
8d,3,4,primary,9640010
8d,3,5,primary,9640010
8d,3,6,primary,9640010
8d,3,7,primary,9640010
8d,3,8,primary,9640010
8d,3,9,primary,9640010
8d,3,10,primary,9640010
8d,3,11,primary,9640010
8d,3,12,primary,9640010
8d,3,13,primary,9640010
8d,3,14,primary,9640010
8d,3,15,primary,9640010
8d,3,16,primary,9640010
8d,3,17,primary,9640010
8d,3,18,primary,9640010
8d,3,19,primary,9640010
8d,3,20,primary,9640010
8d,3,21,primary,9640010
8d,3,22,primary,9640010
8d,3,23,primary,9640010
8d,3,24,primary,9640010
8d,3,25,primary,9640010
8d,3,26,primary,9640010
8d,3,27,primary,9640010
8d,3,28,primary,9640010
8d,3,29,primary,9640010
8d,3,30,primary,9640010
8d,3,31,primary,9640010
8d,3,32,primary,9640010
8d,3,33,primary,9640010
8d,3,34,primary,9640010
8d,3,35,primary,9640010
8d,3,36,primary,9640010
8d,3,37,primary,9640010
8d,3,38,primary,9640010
8d,3,39,primary,9640010
8d,3,40,primary,9640010
8d,3,41,primary,9640010
8d,3,42,primary,9640010
8d,3,43,primary,9640010
8d,3,44,primary,9640010
8d,3,45,primary,9640010
8d,3,46,primary,9640010
8d,3,47,primary,9640010
8d,3,48,primary,9640010
8d,3,49,primary,9640010
8d,3,50,primary,9640010
8d,3,51,primary,9640010
8d,3,52,primary,9640010
8d,3,53,primary,9640010
8d,3,54,primary,9640010
8d,3,55,primary,9640010
8d,3,56,primary,9640010
8d,3,57,primary,9640010
8d,3,58,primary,9640010
8d,3,59,primary,9640010
8d,3,60,primary,9640010
8d,3,61,primary,9640010
8d,3,62,primary,9640010
8d,3,63,primary,9640010
8d,3,64,primary,9640010
8d,3,65,primary,9640010
8d,3,66,primary,9640010
8d,3,67,primary,9640010
8d,3,68,primary,9640010
8d,3,69,primary,9640010
8d,3,70,primary,9640010
8d,3,71,primary,9640010
8d,3,72,primary,9640010
8d,3,73,primary,9640010
8d,3,74,primary,9640010
8d,3,75,primary,9640010
8d,3,76,primary,9640010
8d,3,77,primary,9640010
8d,3,78,primary,9640010
8d,3,79,primary,9640010
8d,3,80,primary,9640010
8d,3,81,primary,9640010
8d,3,82,primary,9640010
8d,3,83,primary,9640010
8d,3,84,primary,9640010
8d,3,85,primary,9640010
8d,3,86,primary,9640010
8d,3,87,primary,9640010
8d,3,88,primary,9640010
8d,3,89,primary,9640010
8d,3,90,primary,9640010
8d,3,91,primary,9640010
8d,3,92,primary,9640010
8d,3,93,primary,9640010
8d,3,94,primary,9640010
8d,3,95,primary,9640010
8d,3,96,primary,9640010
8d,3,97,primary,9640010
8d,3,98,primary,9640010
8d,3,99,primary,9640010
8d,3,100,primary,9640010
8d,3,101,primary,9640010
8d,3,102,primary,9640010
8d,3,103,primary,9640010
8d,3,104,primary,9640010
8d,3,105,primary,9640010
8d,3,106,primary,9640010
8d,3,107,primary,9640010
8d,3,108,primary,9640010
8d,3,109,primary,9640010
8d,3,110,primary,9640010
8d,3,111,primary,9640010
8d,3,112,primary,9640010
8d,3,113,primary,9640010
8d,3,114,primary,9640010
8d,3,115,primary,9640010
8d,3,116,primary,9640010
8d,3,117,primary,9640010
8d,3,118,primary,9640010
8d,3,119,primary,9640010
8d,3,120,primary,9640010
8d,3,121,primary,9640010
8d,3,122,primary,9640010
8d,3,123,primary,9640010
8d,3,124,primary,9640010
8d,3,125,primary,9640010
8d,3,126,primary,9640010
8d,3,127,primary,9640010
8d,3,128,primary,9640010
8d,3,129,primary,9640010
8d,3,130,primary,9640010
8d,3,131,primary,9640010
8d,3,132,primary,9640010
8d,3,133,primary,9640010
8d,3,134,primary,9640010
8d,3,135,primary,9640010
8d,3,136,primary,9640010
8d,3,137,primary,9640010
8d,3,138,primary,9640010
8d,3,139,primary,9640010
8d,3,140,primary,9640010
8d,3,141,primary,9640010
8d,3,142,primary,9640010
8d,3,143,primary,9640010
8d,3,144,primary,9640010
8d,3,145,primary,9640010
8d,3,146,primary,9640010
8d,3,147,primary,9640010
8d,3,148,primary,9640010
8d,3,149,primary,9640010
8d,3,150,primary,9640010
8d,3,151,primary,9640010
8d,3,152,primary,9640010
8d,3,153,primary,9640010
8d,3,154,primary,9640010
8d,3,155,primary,9640010
8d,3,156,primary,9640010
8d,3,157,primary,9640010
8d,3,158,primary,9640010
8d,3,159,primary,9640010
8d,3,160,primary,9640010
8d,3,161,primary,9640010
8d,3,162,primary,9640010
8d,3,163,primary,9640010
8d,3,164,primary,9640010
8d,3,165,primary,9640010
8d,3,166,primary,9640010
8d,3,167,primary,9640010
8d,3,168,primary,9640010
8d,3,169,primary,9640010
8d,3,170,primary,9640010
8d,3,171,primary,9640010
8d,3,172,primary,9640010
8d,3,173,primary,9640010
8d,3,174,primary,9640010
8d,3,175,primary,9640010
8d,3,176,primary,9640010
8d,3,177,primary,9640010
8d,3,178,primary,9640010
8d,3,179,primary,9640010
8d,3,180,primary,9640010
8d,3,181,primary,9640010
8d,3,182,primary,9640010
8d,3,183,primary,9640010
8d,3,184,primary,9640010
8d,3,185,primary,9640010
8d,3,186,primary,9640010
8d,3,187,primary,9640010
8d,3,188,primary,9640010
8d,3,189,primary,9640010
8d,3,190,primary,9640010
8d,3,191,primary,9640010
8d,3,192,primary,9640010
8d,3,193,primary,9640010
8d,3,194,primary,9640010
8d,3,195,primary,9640010
8d,3,196,primary,9640010
8d,3,197,primary,9640010
8d,3,198,primary,9640010
8d,3,199,primary,9640010
8d,3,200,primary,9640010
8d,3,201,primary,9640010
8d,3,202,primary,9640010
8d,3,203,primary,9640010
8d,3,204,primary,9640010
8d,3,205,primary,9640010
8d,3,206,primary,9640010
8d,3,207,primary,9640010
8d,3,208,primary,9640010
8d,3,209,primary,9640010
8d,3,210,primary,9640010
8d,3,211,primary,9640010
8d,3,212,primary,9640010
8d,3,213,primary,9640010
8d,3,214,primary,9640010
8d,3,215,primary,9640010
8d,3,216,primary,9640010
8d,3,217,primary,9640010
8d,3,218,primary,9640010
8d,3,219,primary,9640010
8d,3,220,primary,9640010
8d,3,221,primary,9640010
8d,3,222,primary,9640010
8d,3,223,primary,9640010
8d,3,224,primary,9640010
8d,3,225,primary,9640010
8d,3,226,primary,9640010
8d,3,227,primary,9640010
8d,3,228,primary,9640010
8d,3,229,primary,9640010
8d,3,230,primary,9640010
8d,3,231,primary,9640010
8d,3,232,primary,9640010
8d,3,233,primary,9640010
8d,3,234,primary,9640010
8d,3,235,primary,9640010
8d,3,236,primary,9640010
8d,3,237,primary,9640010
8d,3,238,primary,9640010
8d,3,239,primary,9640010
8d,3,240,primary,9640010
8d,3,241,primary,9640010
8d,3,242,primary,9640010
8d,3,243,primary,9640010
8d,3,244,primary,9640010
8d,3,245,primary,9640010
8d,3,246,primary,9640010
8d,3,247,primary,9640010
8d,3,248,primary,9640010
8d,3,249,primary,9640010
8d,3,250,primary,9640010
8d,3,251,primary,9640010
8d,3,252,primary,9640010
8d,3,253,primary,9640010
8d,3,254,primary,9640010
8d,3,255,primary,9640010
8d,3,256,reserve,9640010
8d,3,257,reserve,9640010
8d,3,258,reserve,9640010
8d,3,259,reserve,9640010
8d,3,260,reserve,9640010
8d,3,261,reserve,9640010
8d,3,262,reserve,9640010
8d,3,263,reserve,9640010
8d,3,264,reserve,9640010
8d,3,265,reserve,9640010
8d,3,266,reserve,9640010
8d,3,267,reserve,9640010
8d,3,268,reserve,9640010
8d,3,269,reserve,9640010
8d,3,270,reserve,9640010
8d,3,271,reserve,9640010
8d,3,272,reserve,9640010
8d,3,273,reserve,9640010
8d,3,274,reserve,9640010
8d,3,275,reserve,9640010
8d,3,276,reserve,9640010
8d,3,277,reserve,9640010
8d,3,278,reserve,9640010
8d,3,279,reserve,9640010
8d,3,280,reserve,9640010
8d,3,281,reserve,9640010
8d,3,282,reserve,9640010
8d,3,283,reserve,9640010
8d,3,284,reserve,9640010
8d,3,285,reserve,9640010
8d,3,286,reserve,9640010
8d,3,287,reserve,9640010
8d,3,288,reserve,9640010
8d,3,289,reserve,9640010
8d,3,290,reserve,9640010
8d,3,291,reserve,9640010
8d,3,292,reserve,9640010
8d,3,293,reserve,9640010
8d,3,294,reserve,9640010
8d,3,295,reserve,9640010
8d,3,296,reserve,9640010
8d,3,297,reserve,9640010
8d,3,298,reserve,9640010
8d,3,299,reserve,9640010
8d,3,300,reserve,9640010
8d,3,301,reserve,9640010
8d,3,302,reserve,9640010
8d,3,303,reserve,9640010
8d,3,304,reserve,9640010
8d,3,305,reserve,9640010
8d,3,306,reserve,9640010
8d,3,307,reserve,9640010
8d,3,308,reserve,9640010
8d,3,309,reserve,9640010
8d,3,310,reserve,9640010
8d,3,311,reserve,9640010
8d,3,312,reserve,9640010
8d,3,313,reserve,9640010
8d,3,314,reserve,9640010
8d,3,315,reserve,9640010
8d,3,316,reserve,9640010
8d,3,317,reserve,9640010
8d,3,318,reserve,9640010
8d,3,319,reserve,9640010
8d,4,0,primary,9740013
8d,4,1,primary,9740013
8d,4,2,primary,9740013
8d,4,3,primary,9740013
8d,4,4,primary,9740013
8d,4,5,primary,9740013
8d,4,6,primary,9740013
8d,4,7,primary,9740013
8d,4,8,primary,9740013
8d,4,9,primary,9740013
8d,4,10,primary,9740013
8d,4,11,primary,9740013
8d,4,12,primary,9740013
8d,4,13,primary,9740013
8d,4,14,primary,9740013
8d,4,15,primary,9740013
8d,4,16,primary,9740013
8d,4,17,primary,9740013
8d,4,18,primary,9740013
8d,4,19,primary,9740013
8d,4,20,primary,9740013
8d,4,21,primary,9740013
8d,4,22,primary,9740013
