track,member_index,draw_index,role,simulator_seed
8d,2,33,primary,13006064
8d,2,34,primary,13110793
8d,2,35,primary,13215522
8d,2,36,primary,13320251
8d,2,37,primary,13424980
8d,2,38,primary,13529709
8d,2,39,primary,13634438
8d,2,40,primary,13739167
8d,2,41,primary,13843896
8d,2,42,primary,13948625
8d,2,43,primary,14053354
8d,2,44,primary,14158083
8d,2,45,primary,14262812
8d,2,46,primary,14367541
8d,2,47,primary,14472270
8d,2,48,primary,14576999
8d,2,49,primary,14681728
8d,2,50,primary,14786457
8d,2,51,primary,14891186
8d,2,52,primary,14995915
8d,2,53,primary,15100644
8d,2,54,primary,15205373
8d,2,55,primary,15310102
8d,2,56,primary,15414831
8d,2,57,primary,15519560
8d,2,58,primary,15624289
8d,2,59,primary,15729018
8d,2,60,primary,15833747
8d,2,61,primary,15938476
8d,2,62,primary,16043205
8d,2,63,primary,16147934
8d,2,64,primary,16252663
8d,2,65,primary,16357392
8d,2,66,primary,16462121
8d,2,67,primary,16566850
8d,2,68,primary,16671579
8d,2,69,primary,16776308
8d,2,70,primary,16881037
8d,2,71,primary,16985766
8d,2,72,primary,17090495
8d,2,73,primary,17195224
8d,2,74,primary,17299953
8d,2,75,primary,17404682
8d,2,76,primary,17509411
8d,2,77,primary,17614140
8d,2,78,primary,17718869
8d,2,79,primary,17823598
8d,2,80,primary,17928327
8d,2,81,primary,18033056
8d,2,82,primary,18137785
8d,2,83,primary,18242514
8d,2,84,primary,18347243
8d,2,85,primary,18451972
8d,2,86,primary,18556701
8d,2,87,primary,18661430
8d,2,88,primary,18766159
8d,2,89,primary,18870888
8d,2,90,primary,18975617
8d,2,91,primary,19080346
8d,2,92,primary,19185075
8d,2,93,primary,19289804
8d,2,94,primary,19394533
8d,2,95,primary,19499262
8d,2,96,primary,19603991
8d,2,97,primary,19708720
8d,2,98,primary,19813449
8d,2,99,primary,19918178
8d,2,100,primary,20022907
8d,2,101,primary,20127636
8d,2,102,primary,20232365
8d,2,103,primary,20337094
8d,2,104,primary,20441823
8d,2,105,primary,20546552
8d,2,106,primary,20651281
8d,2,107,primary,20756010
8d,2,108,primary,20860739
8d,2,109,primary,20965468
8d,2,110,primary,21070197
8d,2,111,primary,21174926
8d,2,112,primary,21279655
8d,2,113,primary,21384384
8d,2,114,primary,21489113
8d,2,115,primary,21593842
8d,2,116,primary,21698571
8d,2,117,primary,21803300
8d,2,118,primary,21908029
8d,2,119,primary,22012758
8d,2,120,primary,22117487
8d,2,121,primary,22222216
8d,2,122,primary,22326945
8d,2,123,primary,22431674
8d,2,124,primary,22536403
8d,2,125,primary,22641132
8d,2,126,primary,22745861
8d,2,127,primary,22850590
8d,2,128,primary,22955319
8d,2,129,primary,23060048
8d,2,130,primary,23164777
8d,2,131,primary,23269506
8d,2,132,primary,23374235
8d,2,133,primary,23478964
8d,2,134,primary,23583693
8d,2,135,primary,23688422
8d,2,136,primary,23793151
8d,2,137,primary,23897880
8d,2,138,primary,24002609
8d,2,139,primary,24107338
8d,2,140,primary,24212067
8d,2,141,primary,24316796
8d,2,142,primary,24421525
8d,2,143,primary,24526254
8d,2,144,primary,24630983
8d,2,145,primary,24735712
8d,2,146,primary,24840441
8d,2,147,primary,24945170
8d,2,148,primary,25049899
8d,2,149,primary,25154628
8d,2,150,primary,25259357
8d,2,151,primary,25364086
8d,2,152,primary,25468815
8d,2,153,primary,25573544
8d,2,154,primary,25678273
8d,2,155,primary,25783002
8d,2,156,primary,25887731
8d,2,157,primary,25992460
8d,2,158,primary,26097189
8d,2,159,primary,26201918
8d,2,160,primary,26306647
8d,2,161,primary,26411376
8d,2,162,primary,26516105
8d,2,163,primary,26620834
8d,2,164,primary,26725563
8d,2,165,primary,26830292
8d,2,166,primary,26935021
8d,2,167,primary,27039750
8d,2,168,primary,27144479
8d,2,169,primary,27249208
8d,2,170,primary,27353937
8d,2,171,primary,27458666
8d,2,172,primary,27563395
8d,2,173,primary,27668124
8d,2,174,primary,27772853
8d,2,175,primary,27877582
8d,2,176,primary,27982311
8d,2,177,primary,28087040
8d,2,178,primary,28191769
8d,2,179,primary,28296498
8d,2,180,primary,28401227
8d,2,181,primary,28505956
8d,2,182,primary,28610685
8d,2,183,primary,28715414
8d,2,184,primary,28820143
8d,2,185,primary,28924872
8d,2,186,primary,29029601
8d,2,187,primary,29134330
8d,2,188,primary,29239059
8d,2,189,primary,29343788
8d,2,190,primary,29448517
8d,2,191,primary,29553246
8d,2,192,primary,29657975
8d,2,193,primary,29762704
8d,2,194,primary,29867433
8d,2,195,primary,29972162
8d,2,196,primary,30076891
8d,2,197,primary,30181620
8d,2,198,primary,30286349
8d,2,199,primary,30391078
8d,2,200,primary,30495807
8d,2,201,primary,30600536
8d,2,202,primary,30705265
8d,2,203,primary,30809994
8d,2,204,primary,30914723
8d,2,205,primary,31019452
8d,2,206,primary,31124181
8d,2,207,primary,31228910
8d,2,208,primary,31333639
8d,2,209,primary,31438368
8d,2,210,primary,31543097
8d,2,211,primary,31647826
8d,2,212,primary,31752555
8d,2,213,primary,31857284
8d,2,214,primary,31962013
8d,2,215,primary,32066742
8d,2,216,primary,32171471
8d,2,217,primary,32276200
8d,2,218,primary,32380929
8d,2,219,primary,32485658
8d,2,220,primary,32590387
8d,2,221,primary,32695116
8d,2,222,primary,32799845
8d,2,223,primary,32904574
8d,2,224,primary,33009303
8d,2,225,primary,33114032
8d,2,226,primary,33218761
8d,2,227,primary,33323490
8d,2,228,primary,33428219
8d,2,229,primary,33532948
8d,2,230,primary,33637677
8d,2,231,primary,33742406
8d,2,232,primary,33847135
8d,2,233,primary,33951864
8d,2,234,primary,34056593
8d,2,235,primary,34161322
8d,2,236,primary,34266051
8d,2,237,primary,34370780
8d,2,238,primary,34475509
8d,2,239,primary,34580238
8d,2,240,primary,34684967
8d,2,241,primary,34789696
8d,2,242,primary,34894425
8d,2,243,primary,34999154
8d,2,244,primary,35103883
8d,2,245,primary,35208612
8d,2,246,primary,35313341
8d,2,247,primary,35418070
8d,2,248,primary,35522799
8d,2,249,primary,35627528
8d,2,250,primary,35732257
8d,2,251,primary,35836986
8d,2,252,primary,35941715
8d,2,253,primary,36046444
8d,2,254,primary,36151173
8d,2,255,primary,36255902
8d,2,256,reserve,36360631
8d,2,257,reserve,36465360
8d,2,258,reserve,36570089
8d,2,259,reserve,36674818
8d,2,260,reserve,36779547
8d,2,261,reserve,36884276
8d,2,262,reserve,36989005
8d,2,263,reserve,37093734
8d,2,264,reserve,37198463
8d,2,265,reserve,37303192
8d,2,266,reserve,37407921
8d,2,267,reserve,37512650
8d,2,268,reserve,37617379
8d,2,269,reserve,37722108
8d,2,270,reserve,37826837
8d,2,271,reserve,37931566
8d,2,272,reserve,38036295
8d,2,273,reserve,38141024
8d,2,274,reserve,38245753
8d,2,275,reserve,38350482
8d,2,276,reserve,38455211
8d,2,277,reserve,38559940
8d,2,278,reserve,38664669
8d,2,279,reserve,38769398
8d,2,280,reserve,38874127
8d,2,281,reserve,38978856
8d,2,282,reserve,39083585
8d,2,283,reserve,39188314
8d,2,284,reserve,39293043
8d,2,285,reserve,39397772
8d,2,286,reserve,39502501
8d,2,287,reserve,39607230
8d,2,288,reserve,39711959
8d,2,289,reserve,39816688
8d,2,290,reserve,39921417
8d,2,291,reserve,40026146
8d,2,292,reserve,40130875
8d,2,293,reserve,40235604
8d,2,294,reserve,40340333
8d,2,295,reserve,40445062
8d,2,296,reserve,40549791
8d,2,297,reserve,40654520
8d,2,298,reserve,40759249
8d,2,299,reserve,40863978
8d,2,300,reserve,40968707
8d,2,301,reserve,41073436
8d,2,302,reserve,41178165
8d,2,303,reserve,41282894
8d,2,304,reserve,41387623
8d,2,305,reserve,41492352
8d,2,306,reserve,41597081
8d,2,307,reserve,41701810
8d,2,308,reserve,41806539
8d,2,309,reserve,41911268
8d,2,310,reserve,42015997
8d,2,311,reserve,42120726
8d,2,312,reserve,42225455
8d,2,313,reserve,42330184
8d,2,314,reserve,42434913
8d,2,315,reserve,42539642
8d,2,316,reserve,42644371
8d,2,317,reserve,42749100
8d,2,318,reserve,42853829
8d,2,319,reserve,42958558
8d,3,0,primary,9650010
8d,3,1,primary,9754739
8d,3,2,primary,9859468
8d,3,3,primary,9964197
8d,3,4,primary,10068926
8d,3,5,primary,10173655
8d,3,6,primary,10278384
8d,3,7,primary,10383113
8d,3,8,primary,10487842
8d,3,9,primary,10592571
8d,3,10,primary,10697300
8d,3,11,primary,10802029
8d,3,12,primary,10906758
8d,3,13,primary,11011487
8d,3,14,primary,11116216
8d,3,15,primary,11220945
8d,3,16,primary,11325674
8d,3,17,primary,11430403
8d,3,18,primary,11535132
8d,3,19,primary,11639861
8d,3,20,primary,11744590
8d,3,21,primary,11849319
8d,3,22,primary,11954048
8d,3,23,primary,12058777
8d,3,24,primary,12163506
8d,3,25,primary,12268235
8d,3,26,primary,12372964
8d,3,27,primary,12477693
8d,3,28,primary,12582422
8d,3,29,primary,12687151
8d,3,30,primary,12791880
8d,3,31,primary,12896609
8d,3,32,primary,13001338
8d,3,33,primary,13106067
8d,3,34,primary,13210796
8d,3,35,primary,13315525
8d,3,36,primary,13420254
8d,3,37,primary,13524983
8d,3,38,primary,13629712
8d,3,39,primary,13734441
8d,3,40,primary,13839170
8d,3,41,primary,13943899
8d,3,42,primary,14048628
8d,3,43,primary,14153357
8d,3,44,primary,14258086
8d,3,45,primary,14362815
8d,3,46,primary,14467544
8d,3,47,primary,14572273
8d,3,48,primary,14677002
8d,3,49,primary,14781731
8d,3,50,primary,14886460
8d,3,51,primary,14991189
8d,3,52,primary,15095918
8d,3,53,primary,15200647
8d,3,54,primary,15305376
8d,3,55,primary,15410105
8d,3,56,primary,15514834
8d,3,57,primary,15619563
8d,3,58,primary,15724292
8d,3,59,primary,15829021
8d,3,60,primary,15933750
8d,3,61,primary,16038479
8d,3,62,primary,16143208
8d,3,63,primary,16247937
8d,3,64,primary,16352666
8d,3,65,primary,16457395
8d,3,66,primary,16562124
8d,3,67,primary,16666853
8d,3,68,primary,16771582
8d,3,69,primary,16876311
8d,3,70,primary,16981040
8d,3,71,primary,17085769
8d,3,72,primary,17190498
8d,3,73,primary,17295227
8d,3,74,primary,17399956
8d,3,75,primary,17504685
8d,3,76,primary,17609414
8d,3,77,primary,17714143
8d,3,78,primary,17818872
8d,3,79,primary,17923601
8d,3,80,primary,18028330
8d,3,81,primary,18133059
8d,3,82,primary,18237788
8d,3,83,primary,18342517
8d,3,84,primary,18447246
8d,3,85,primary,18551975
8d,3,86,primary,18656704
8d,3,87,primary,18761433
8d,3,88,primary,18866162
8d,3,89,primary,18970891
8d,3,90,primary,19075620
8d,3,91,primary,19180349
8d,3,92,primary,19285078
8d,3,93,primary,19389807
8d,3,94,primary,19494536
8d,3,95,primary,19599265
8d,3,96,primary,19703994
8d,3,97,primary,19808723
8d,3,98,primary,19913452
8d,3,99,primary,20018181
8d,3,100,primary,20122910
8d,3,101,primary,20227639
8d,3,102,primary,20332368
8d,3,103,primary,20437097
8d,3,104,primary,20541826
8d,3,105,primary,20646555
8d,3,106,primary,20751284
8d,3,107,primary,20856013
8d,3,108,primary,20960742
8d,3,109,primary,21065471
8d,3,110,primary,21170200
8d,3,111,primary,21274929
8d,3,112,primary,21379658
8d,3,113,primary,21484387
8d,3,114,primary,21589116
8d,3,115,primary,21693845
8d,3,116,primary,21798574
8d,3,117,primary,21903303
8d,3,118,primary,22008032
8d,3,119,primary,22112761
8d,3,120,primary,22217490
8d,3,121,primary,22322219
8d,3,122,primary,22426948
8d,3,123,primary,22531677
8d,3,124,primary,22636406
8d,3,125,primary,22741135
8d,3,126,primary,22845864
8d,3,127,primary,22950593
8d,3,128,primary,23055322
8d,3,129,primary,23160051
8d,3,130,primary,23264780
8d,3,131,primary,23369509
8d,3,132,primary,23474238
8d,3,133,primary,23578967
8d,3,134,primary,23683696
8d,3,135,primary,23788425
8d,3,136,primary,23893154
8d,3,137,primary,23997883
8d,3,138,primary,24102612
8d,3,139,primary,24207341
8d,3,140,primary,24312070
8d,3,141,primary,24416799
8d,3,142,primary,24521528
8d,3,143,primary,24626257
8d,3,144,primary,24730986
8d,3,145,primary,24835715
8d,3,146,primary,24940444
8d,3,147,primary,25045173
8d,3,148,primary,25149902
8d,3,149,primary,25254631
8d,3,150,primary,25359360
8d,3,151,primary,25464089
8d,3,152,primary,25568818
8d,3,153,primary,25673547
8d,3,154,primary,25778276
8d,3,155,primary,25883005
8d,3,156,primary,25987734
8d,3,157,primary,26092463
8d,3,158,primary,26197192
8d,3,159,primary,26301921
8d,3,160,primary,26406650
8d,3,161,primary,26511379
8d,3,162,primary,26616108
8d,3,163,primary,26720837
8d,3,164,primary,26825566
8d,3,165,primary,26930295
8d,3,166,primary,27035024
8d,3,167,primary,27139753
8d,3,168,primary,27244482
8d,3,169,primary,27349211
8d,3,170,primary,27453940
8d,3,171,primary,27558669
8d,3,172,primary,27663398
8d,3,173,primary,27768127
8d,3,174,primary,27872856
8d,3,175,primary,27977585
8d,3,176,primary,28082314
8d,3,177,primary,28187043
8d,3,178,primary,28291772
8d,3,179,primary,28396501
8d,3,180,primary,28501230
8d,3,181,primary,28605959
8d,3,182,primary,28710688
8d,3,183,primary,28815417
8d,3,184,primary,28920146
8d,3,185,primary,29024875
8d,3,186,primary,29129604
8d,3,187,primary,29234333
8d,3,188,primary,29339062
8d,3,189,primary,29443791
8d,3,190,primary,29548520
8d,3,191,primary,29653249
8d,3,192,primary,29757978
8d,3,193,primary,29862707
8d,3,194,primary,29967436
8d,3,195,primary,30072165
8d,3,196,primary,30176894
8d,3,197,primary,30281623
8d,3,198,primary,30386352
8d,3,199,primary,30491081
8d,3,200,primary,30595810
8d,3,201,primary,30700539
8d,3,202,primary,30805268
8d,3,203,primary,30909997
8d,3,204,primary,31014726
8d,3,205,primary,31119455
8d,3,206,primary,31224184
8d,3,207,primary,31328913
8d,3,208,primary,31433642
8d,3,209,primary,31538371
8d,3,210,primary,31643100
8d,3,211,primary,31747829
8d,3,212,primary,31852558
8d,3,213,primary,31957287
8d,3,214,primary,32062016
8d,3,215,primary,32166745
8d,3,216,primary,32271474
8d,3,217,primary,32376203
8d,3,218,primary,32480932
8d,3,219,primary,32585661
8d,3,220,primary,32690390
8d,3,221,primary,32795119
8d,3,222,primary,32899848
8d,3,223,primary,33004577
8d,3,224,primary,33109306
8d,3,225,primary,33214035
8d,3,226,primary,33318764
8d,3,227,primary,33423493
8d,3,228,primary,33528222
8d,3,229,primary,33632951
8d,3,230,primary,33737680
8d,3,231,primary,33842409
8d,3,232,primary,33947138
8d,3,233,primary,34051867
8d,3,234,primary,34156596
8d,3,235,primary,34261325
8d,3,236,primary,34366054
8d,3,237,primary,34470783
8d,3,238,primary,34575512
8d,3,239,primary,34680241
8d,3,240,primary,34784970
8d,3,241,primary,34889699
8d,3,242,primary,34994428
8d,3,243,primary,35099157
8d,3,244,primary,35203886
8d,3,245,primary,35308615
8d,3,246,primary,35413344
8d,3,247,primary,35518073
8d,3,248,primary,35622802
8d,3,249,primary,35727531
8d,3,250,primary,35832260
8d,3,251,primary,35936989
8d,3,252,primary,36041718
8d,3,253,primary,36146447
8d,3,254,primary,36251176
8d,3,255,primary,36355905
8d,3,256,reserve,36460634
8d,3,257,reserve,36565363
8d,3,258,reserve,36670092
8d,3,259,reserve,36774821
8d,3,260,reserve,36879550
8d,3,261,reserve,36984279
8d,3,262,reserve,37089008
8d,3,263,reserve,37193737
8d,3,264,reserve,37298466
8d,3,265,reserve,37403195
8d,3,266,reserve,37507924
8d,3,267,reserve,37612653
8d,3,268,reserve,37717382
8d,3,269,reserve,37822111
8d,3,270,reserve,37926840
8d,3,271,reserve,38031569
8d,3,272,reserve,38136298
8d,3,273,reserve,38241027
8d,3,274,reserve,38345756
8d,3,275,reserve,38450485
8d,3,276,reserve,38555214
8d,3,277,reserve,38659943
8d,3,278,reserve,38764672
8d,3,279,reserve,38869401
8d,3,280,reserve,38974130
8d,3,281,reserve,39078859
8d,3,282,reserve,39183588
8d,3,283,reserve,39288317
8d,3,284,reserve,39393046
8d,3,285,reserve,39497775
8d,3,286,reserve,39602504
8d,3,287,reserve,39707233
8d,3,288,reserve,39811962
8d,3,289,reserve,39916691
8d,3,290,reserve,40021420
8d,3,291,reserve,40126149
8d,3,292,reserve,40230878
8d,3,293,reserve,40335607
8d,3,294,reserve,40440336
8d,3,295,reserve,40545065
8d,3,296,reserve,40649794
8d,3,297,reserve,40754523
8d,3,298,reserve,40859252
8d,3,299,reserve,40963981
8d,3,300,reserve,41068710
8d,3,301,reserve,41173439
8d,3,302,reserve,41278168
8d,3,303,reserve,41382897
8d,3,304,reserve,41487626
8d,3,305,reserve,41592355
8d,3,306,reserve,41697084
8d,3,307,reserve,41801813
8d,3,308,reserve,41906542
8d,3,309,reserve,42011271
8d,3,310,reserve,42116000
8d,3,311,reserve,42220729
8d,3,312,reserve,42325458
8d,3,313,reserve,42430187
8d,3,314,reserve,42534916
8d,3,315,reserve,42639645
8d,3,316,reserve,42744374
8d,3,317,reserve,42849103
8d,3,318,reserve,42953832
8d,3,319,reserve,43058561
8d,4,0,primary,9750013
8d,4,1,primary,9854742
8d,4,2,primary,9959471
8d,4,3,primary,10064200
8d,4,4,primary,10168929
8d,4,5,primary,10273658
8d,4,6,primary,10378387
8d,4,7,primary,10483116
8d,4,8,primary,10587845
8d,4,9,primary,10692574
8d,4,10,primary,10797303
8d,4,11,primary,10902032
8d,4,12,primary,11006761
8d,4,13,primary,11111490
8d,4,14,primary,11216219
8d,4,15,primary,11320948
8d,4,16,primary,11425677
8d,4,17,primary,11530406
8d,4,18,primary,11635135
8d,4,19,primary,11739864
8d,4,20,primary,11844593
8d,4,21,primary,11949322
8d,4,22,primary,12054051
